driverId,year,points,wins,age,normalized_points,races_in_season,points_per_race,normalized_points_per_race,age_group
12,2009,0.0,0,23.43874058863792,0.0,17,0.0,0.0,<25
13,2002,4.0,0,20.687200547570157,0.4,17,0.23529411764705882,0.023529411764705882,<25
13,2004,12.0,0,22.68583162217659,1.2,18,0.6666666666666666,0.06666666666666667,<25
13,2005,11.0,0,23.68788501026694,1.1,19,0.5789473684210527,0.05789473684210527,<25
13,2006,80.0,2,24.687200547570157,8.0,18,4.444444444444445,0.4444444444444444,<25
13,2007,94.0,3,25.686516084873375,9.4,17,5.529411764705882,0.5529411764705883,25–30
13,2008,97.0,6,26.68583162217659,9.7,18,5.388888888888889,0.5388888888888889,25–30
13,2009,22.0,0,27.68788501026694,2.2,17,1.2941176470588236,0.12941176470588237,25–30
13,2010,144.0,0,28.687200547570157,5.76,19,7.578947368421052,0.30315789473684207,25–30
13,2011,118.0,0,29.686516084873375,4.72,19,6.2105263157894735,0.24842105263157893,25–30
13,2012,122.0,0,30.68583162217659,4.88,20,6.1,0.244,30–35
13,2013,112.0,0,31.687885010266942,4.48,19,5.894736842105263,0.23578947368421055,30–35
13,2014,134.0,0,32.68720054757016,5.36,19,7.052631578947368,0.28210526315789475,30–35
13,2015,121.0,0,33.686516084873375,4.84,19,6.368421052631579,0.25473684210526315,30–35
13,2016,53.0,0,34.68583162217659,2.12,21,2.5238095238095237,0.10095238095238096,30–35
13,2017,43.0,0,35.68788501026694,1.72,20,2.15,0.086,35–40
14,1994,14.0,0,22.767967145790553,1.4,16,0.875,0.0875,<25
14,1995,49.0,1,23.76728268309377,4.9,17,2.8823529411764706,0.2882352941176471,<25
14,1996,18.0,0,24.76659822039699,1.8,16,1.125,0.1125,<25
14,1997,36.0,2,25.76865160848734,3.6,17,2.1176470588235294,0.21176470588235294,25–30
14,1998,56.0,1,26.767967145790553,5.6,16,3.5,0.35,25–30
14,1999,48.0,2,27.76728268309377,4.8,16,3.0,0.3,25–30
